municipality_id,municipality_name,RC1,RC2,RC3
1,Aeugst am Albis,6.277752835014433,2.9631737902872906,8.456675275365667
10,Obfelden,2.811689575144776,2.479665833975843,5.362394943786479
100,Stadel,-6.440528833342872,8.525584426977709,-0.8018913819229523
1001,Doppleschwand,-8.951887517167105,14.412359635897344,-9.705938266352467
1002,Entlebuch,-11.583418089016252,11.150020514024453,-7.085562520944915
1004,Flühli,-8.945925437453308,13.82597996266654,-9.850197183346772
1005,Hasle (LU),-13.979017965843957,11.995286599715005,-9.22684345629357
1007,Romoos,-10.161050213187849,10.179123587520634,-8.371354776903297
1008,Schüpfheim,-4.347474673537067,8.565200239422312,-3.773717860015994
1009,Werthenstein,-12.794190256851891,5.40110165942466,-3.163722034115299
101,Steinmaur,-0.774748937126829,6.048684352444083,3.182374965148844
1010,Escholzmatt-Marbach,-12.265173572003253,8.444236695353124,-6.840455838098009
102,Weiach,-11.84811974778602,4.54132968526329,1.4078214428487483
1021,Aesch (LU),-6.144045559069429,9.98782155952311,-2.111823570751323
1023,Ballwil,-4.0060930593419375,9.541078887205481,-1.3948043235377643
1024,Emmen,-1.300725586969001,1.4749142491509994,4.5389554368462655
1025,Ermensee,-3.027700916968433,9.469610762154113,-2.0718320169636373
1026,Eschenbach (LU),1.001970657877941,9.09225681248115,-0.4380582672391322
1030,Hitzkirch,-1.43986205371671,6.97898912140352,0.8608463780654422
1031,Hochdorf,4.400458586568881,6.926801738018273,1.8279477860429623
1032,Hohenrain,-3.393263189571505,8.645837706347233,-1.3332212174339442
1033,Inwil,-1.9971822192556947,10.361252930643913,-1.577745416522768
1037,Rain,1.4197425860340964,13.193920110571051,-4.1401206214829305
1039,Römerswil,-5.035330273122517,9.11161400515882,-2.6038590654411484
1040,Rothenburg,4.306608623915653,6.995703089557151,3.059851102057146
1041,Schongau,-9.358971988180341,7.7043289423870664,-2.87861441112084
1051,Adligenswil,8.86100569716742,2.8700171165884587,7.459852096955358
1052,Buchrain,4.403093050733174,5.771587732719489,2.9467861477306734
1053,Dierikon,-1.6546237285064744,4.3406475832923075,1.9487354476948204
1054,Ebikon,3.013150121837771,3.6560574510535746,4.237054270500787
1055,Gisikon,-1.3456455649891057,9.251059410336145,-0.8658195105030608
1056,Greppen,0.9011017450374569,7.195030327814823,0.913578136935676
1058,Horw,6.084394212442135,4.005770600686743,5.4606700865369895
1059,Kriens,4.282451110030713,0.431380266208398,6.633494288130889
1061,Luzern,10.125241554258864,-4.188134569422302,12.122809003889394
1062,Malters,-1.1274790507777577,5.673538487745128,1.428433098028266
1063,Meggen,7.447615050330264,11.242208240363604,1.876632957618209
1064,Meierskappel,-3.883608709134205,8.157876767175702,0.7413244243333585
1065,Root,-1.8372114173080516,5.6590615341271535,1.0533873931494346
1066,Schwarzenberg,-6.755495877674538,8.574674707139536,-2.8401762035619864
1067,Udligenswil,2.8922000657578653,8.218036938184603,2.6505502080535708
1068,Vitznau,-2.2713624459385455,2.7806590795635864,3.523916585252406
1069,Weggis,-0.4187647190697291,8.284751143555788,1.7934097693060553
1081,Beromünster,-0.49347875943358405,9.828178179788774,-1.53236328687777
1082,Büron,-4.558571685311647,7.279154207548406,-1.0327261696391323
1083,Buttisholz,-2.0416758673840376,10.986758479844552,-2.7257017286835654
1084,Eich,2.9354179207905755,12.805781690477295,-1.78915396230886
1085,Geuensee,-0.24830421551913495,4.047137809121035,2.704319317394088
1086,Grosswangen,-3.491665801387187,12.543331843110169,-4.295985394842422
1088,Hildisrieden,3.2394984895244066,11.38522634043304,-0.8070502987618444
1089,Knutwil,0.15461473758354358,8.692184730247071,0.19390917566511967
1091,Mauensee,2.6449451319486124,4.584173331975433,3.0278308209408182
1093,Neuenkirch,0.42988250584818577,7.858114359264932,0.12419955169387031
1094,Nottwil,1.006305659851698,6.907833577237929,1.0469928885062947
1095,Oberkirch,5.4203317519334915,6.940197518754611,2.760626286361201
1097,Rickenbach (LU),-7.0586176640721785,9.836748736509158,-4.076518047978147
1098,Ruswil,-1.9889505080997858,7.9453397338420935,-1.2767121996510467
1099,Schenkon,1.4530436163497429,11.109608948657305,-1.1466732702794786
11,Ottenbach,5.091101635728009,2.288466448213729,7.71614591387814
1100,Schlierbach,-3.523249930291994,12.778188150027011,-4.5488741097198
1102,Sempach,10.42207880855561,9.262144322409831,2.4468807153043803
1103,Sursee,7.496558675394704,2.5856686887089215,5.9441335500322765
1104,Triengen,-3.798238903673941,7.479629436844694,-0.45211849834012535
1107,Wolhusen,-2.9702311443324434,7.563164046725547,-1.3485322608078167
111,Bäretswil,-7.011299847189215,5.040638229996097,2.7645263368748325
112,Bubikon,-1.1428706026112292,2.348149788912349,6.164942202649634
1121,Alberswil,-6.550382859850623,9.87155546704704,-4.486490755643426
1122,Altbüron,-2.7622247888244025,8.812826323316417,-3.5271508166683327
1123,Altishofen,-2.9136194267122306,8.914338200484256,-3.5198129863907353
1125,Dagmersellen,-3.085340607878353,7.802431225110749,-1.7461913518529883
1127,Egolzwil,0.11038978164439339,9.676923619905029,-1.9928588488366707
1128,Ettiswil,-1.9419659157241882,10.166027102067487,-2.8528280340020125
1129,Fischbach,-15.145294104594912,6.221467407257735,-4.364496847989231
113,Dürnten,-2.8371595790830995,3.3455754091291334,3.990846942718104
1131,Grossdietwil,-3.47010294485638,9.32737147369488,-3.0570844431535367
1132,Hergiswil bei Willisau,-11.82222145409056,6.842248757473341,-6.096295529067565
1135,Luthern,-13.293316079946054,6.362337376448925,-7.876632437487084
1136,Menznau,-8.589118207518823,10.200575155052782,-4.992130174697556
