municipality_id,municipality_name,PC1,PC2,PC3
1,Aeugst am Albis,3.143120826658157,7.865693989462659,6.925141573651547
10,Obfelden,0.7110183167249788,4.712790521978253,4.482597338323536
100,Stadel,-10.424592281340555,2.262765731612443,-1.008364157783975
1001,Doppleschwand,-16.356091766491335,3.3378812907010285,-10.168306085086288
1002,Entlebuch,-16.217931327389326,-0.23466505505512375,-6.754803039197684
1004,Flühli,-15.97977795518006,2.869452138985509,-10.228715918264442
1005,Hasle (LU),-18.654304770035996,-1.523535812466413,-8.609891767053906
1007,Romoos,-14.538142990618496,-0.34231629310242967,-8.091124593375902
1008,Schüpfheim,-8.9214272425408,2.9943563194152296,-4.2362842036245505
1009,Werthenstein,-13.36260145698395,-4.535880884057714,-1.9336513337622743
101,Steinmaur,-4.384767832912938,4.731126247612674,2.38842714154934
1010,Escholzmatt-Marbach,-15.001971912482142,-2.653479903721268,-6.035837583064077
102,Weiach,-11.965740474726429,-3.6684215036108703,2.519388149216892
1021,Aesch (LU),-11.167859505077141,3.286262113595094,-2.5387141482222773
1023,Ballwil,-9.221877653651216,4.426685439949614,-2.0947256597874415
1024,Emmen,-1.8237583141336668,1.2239635795708372,4.432289963453796
1025,Ermensee,-8.442895340838145,4.845140656456405,-2.8939797889133323
1026,Eschenbach (LU),-5.065227894577364,7.402869107842164,-1.8455268995618344
1030,Hitzkirch,-5.552048145643307,4.548397793710612,0.08594926211147562
1031,Hochdorf,-1.0103133182704702,8.344933585404096,0.16541358027738787
1032,Hohenrain,-8.176538594411193,4.14493855636585,-2.001480579688112
1033,Inwil,-8.209934037095636,6.2610394696292575,-2.6888561834597846
1037,Rain,-7.4685499625886,10.010296502274006,-6.103320493635969
1039,Römerswil,-9.768618156514416,3.2156484123086924,-3.064285784933253
1040,Rothenburg,-1.094121833095831,8.588346227021155,1.3757306505050242
1041,Schongau,-12.193329237442326,-0.5975604796056313,-2.4898003206095787
1051,Adligenswil,5.159452885679427,9.203085320447949,5.5755788962405655
1052,Buchrain,-0.2390902536390499,7.700985241697851,1.4211488761269702
1053,Dierikon,-3.9986900819759916,2.642498490616498,1.5505645184179602
1054,Ebikon,0.08272128172860468,5.498611137229194,3.1869878230693858
1055,Gisikon,-6.980145387450253,5.972970589988009,-1.9348639037686342
1056,Greppen,-3.892142076590321,6.18119983521719,-0.24304205010171664
1058,Horw,2.2483221488963667,7.924983732970012,3.876164235254768
1059,Kriens,3.1850815897844456,4.3401633327973475,5.791973793587127
1061,Luzern,10.772466024444888,5.605811437074377,10.93399925610977
1062,Malters,-4.461332409498285,3.872210882159548,0.7766370538778179
1063,Meggen,-1.433748214693505,13.513228498931298,-0.8443867051050802
1064,Meierskappel,-8.185935483174015,3.8915655889456575,0.1706147369014601
1065,Root,-5.0066876353936465,3.3428890104743645,0.5178032678700395
1066,Schwarzenberg,-10.751325659373427,1.6901334485684747,-2.963244378370531
1067,Udligenswil,-2.9733440231046573,8.54705704220784,1.0165677452400181
1068,Vitznau,-3.431676718843492,1.399381613922189,3.402126742694989
1069,Weggis,-5.58001095928065,6.360138996839347,0.6639982201934597
1081,Beromünster,-6.713140407726005,6.804755978041083,-2.7953151536328713
1082,Büron,-8.187869752363941,2.447404615088055,-1.3424547281832615
1083,Buttisholz,-8.67481900017473,6.472912139758526,-3.8930291420457275
1084,Eich,-5.994833243378466,11.138574046297164,-3.974913530373604
1085,Geuensee,-2.7114148818099366,3.4505109876193765,2.120501276328305
1086,Grosswangen,-10.825896322184548,6.426418124889088,-5.429872301727346
1088,Hildisrieden,-4.825888797990982,10.454350300752443,-2.8611914598354375
1089,Knutwil,-5.442831549581564,6.700790208095692,-1.0443070334886886
1091,Mauensee,-0.8260432764653797,5.724872084394318,1.929153050325853
1093,Neuenkirch,-4.699221344279372,6.228240228593071,-1.0375587661260859
1094,Nottwil,-3.6239606489051672,6.056908617102989,-0.08818809272490423
1095,Oberkirch,-0.21156232474522751,9.17982667367942,0.9238068073178036
1097,Rickenbach (LU),-11.824717608460963,2.2036897272413425,-4.303895153748764
1098,Ruswil,-6.648522806980503,4.502516920620151,-2.0588413040269713
1099,Schenkon,-6.029546219413305,9.063942806471873,-2.887753369115876
11,Ottenbach,2.6449145729397334,6.466353786931366,6.47193927028523
1100,Schlierbach,-11.007186900665573,6.532826135660115,-5.705405975907825
1102,Sempach,2.1324298138049658,13.987113711098935,-0.4557000085637648
1103,Sursee,4.254423185790932,7.830544595442566,4.335810523652341
1104,Triengen,-7.7173918911255495,3.190437076952347,-0.9158930479235068
1107,Wolhusen,-7.1588695531768,3.5877444709410455,-1.928973571284472
111,Bäretswil,-8.537226525957635,-0.0017268650096176758,3.0536413415119465
112,Bubikon,-2.2191205546972075,2.3116775701951604,5.878615804989262
1121,Alberswil,-11.467664837343582,2.4635675651607145,-4.7861487942109315
1122,Altbüron,-7.856728699176527,4.219353409890699,-4.266785373374024
1123,Altishofen,-8.037753190977869,4.203160364707936,-4.251076777119652
1125,Dagmersellen,-7.41089949953122,3.6160662532718613,-2.3343258954757977
1127,Egolzwil,-6.164851603762761,6.973457432793625,-3.315421417761699
1128,Ettiswil,-8.076013933702622,5.889380386319718,-3.9180561580031763
1129,Fischbach,-15.724172959448621,-5.625069185338394,-2.8713070807311696
113,Dürnten,-4.215488776097414,1.568145842823922,3.865201367301034
1131,Grossdietwil,-8.717258505222734,4.262161352565461,-3.772349812330312
1132,Hergiswil bei Willisau,-13.616489589431527,-3.436451050669855,-5.150545872399033
1135,Luthern,-14.485088305279492,-5.076834271913641,-6.606125824729914
