geo_id,geo_name,factor_1,factor_2
4551,Aadorf,0.5809591184708772,-0.6039490794838484
4001,Aarau,-0.8252924761825264,-1.3657674387940417
301,Aarberg,-0.00815351623811017,-1.0322561133913701
4271,Aarburg,0.2130514363637656,0.16415805947272458
321,Aarwangen,0.460717552335735,-0.5006744903638756
4221,Abtwil,1.202148762329927,-0.10309914915349837
5621,Aclens,-1.6658204581409173,-0.2466033419059236
5048,Acquarossa,0.04499620604275903,1.4503712821129802
561,Adelboden,1.9111796463258524,0.32353040279572587
1051,Adligenswil,-0.5006969959001949,-1.6258155698091021
131,Adliswil,-0.28716419841944707,-1.0841290129531371
2421,Aedermannsdorf,1.0046128743714806,-0.1317491633917938
401,Aefligen,0.672515743579035,0.4145081395375289
731,Aegerten,0.15895131261138712,-0.26419247138607305
2761,Aesch (BL),-0.2995898796970013,-0.6646267449621158
1021,Aesch (LU),1.224478533632105,-0.5217379544525534
241,Aesch (ZH),0.3226257754902125,-2.1091037905512717
2511,Aeschi (SO),0.16815387380873456,-0.364910188877941
562,Aeschi bei Spiez,0.7037380344126568,-0.33734956882866485
1,Aeugst am Albis,-0.3173853181534437,-1.4100233490568896
4711,Affeltrangen,1.5323630387861262,0.23319189442103133
2,Affoltern am Albis,-0.16505635703117233,-0.8611681736878845
951,Affoltern im Emmental,1.1875657126328591,0.14099896607770854
6101,Agarn,0.5977267791626539,0.6671769406693704
5742,Agiez,-1.1933538440667935,-0.14666691255060568
5141,Agno,-0.105006403779558,1.736995505537994
5401,Aigle,-1.3340121200884718,0.5200564177768462
6601,Aire-la-Ville,-1.4881436284487544,-0.07806181587123776
5061,Airolo,0.930961730903778,1.1021266704072326
1121,Alberswil,1.2620479666761706,-0.41353479269492344
6102,Albinen,0.29583897810611903,0.7396826584014281
3542,Albula/Alvra,0.3107220325225655,-0.23553911657107218
402,Alchenstorf,0.7378846122940433,-0.07984465126696719
5851,Allaman,-1.677052533136473,-0.3889969984767612
6771,Alle,-1.216380836319203,1.2602901614602704
630,Allmendingen,0.07815607879825419,-1.1320211330456362
2762,Allschwil,-0.6110301923153881,-0.48951787158373805
1401,Alpnach,0.9385006981538636,-0.5366440273496995
1361,Alpthal,2.8178533548261764,2.2614636820700293
1122,Altbüron,0.8277194930340124,-0.7417301445905539
1201,Altdorf (UR),-0.12820544097688225,-1.0661686328899638
1341,Altendorf,1.0918121600203086,-0.6574431255494954
211,Altikon,1.026677481800141,-0.23630501857125735
1123,Altishofen,0.929552538523144,-0.8248176204712937
4641,Altnau,0.2689326453939624,-0.6324185774190065
3251,Altstätten,0.9183822103373117,-0.011230398789802004
3311,Amden,0.9191348342992295,-0.19477614616327182
4881,Amlikon-Bissegg,1.5636804692686936,-0.05500188797743194
4191,Ammerswil,0.5119178845284653,-0.05112208751113286
4461,Amriswil,0.7079324016750749,-0.1417520827598714
921,Amsoldingen,0.5163870368266639,0.06860059368899982
3701,Andeer,0.20170948001267,-0.8116427905257984
291,Andelfingen,0.559669332465559,-0.96806373594826
1202,Andermatt,0.7503458437476266,-0.9563067798022497
3441,Andwil (SG),0.6982882810576635,-1.672230657903309
6602,Anières,-1.2995748604492303,-1.6796496343514165
6252,Anniviers,-0.834268425046486,-0.22896770028601254
2841,Anwil,0.25206862933831503,0.5513653408006232
3101,Appenzell,1.016069314352633,-1.0510988794450782
5143,Aranno,-0.951886805915453,1.4222103673214455
6261,Arbaz,-0.891645143874205,0.3741932235378895
5001,Arbedo-Castione,-0.4116784435746076,2.180367008476785
2881,Arboldswil,0.7526661631034622,0.1927541884755164
4401,Arbon,0.1303744231756531,-0.11092551342917736
381,Arch,0.9454114168219174,0.931863793719591
6021,Ardon,-0.5390264930073391,0.1886797554868127
2821,Arisdorf,0.6968357888015525,-0.3136681160750763
4222,Aristau,0.6614525601962148,-0.3988274619841197
2763,Arlesheim,-1.0147346691162773,-1.365686602121636
5701,Arnex-sur-Nyon,-1.374251672867678,-1.783955353956264
5743,Arnex-sur-Orbe,-1.4786959990945892,0.3394956814375919
4061,Arni (AG),0.2028225315774591,-1.4748679158277198
602,Arni (BE),1.1635942037344678,0.4826691288948608
5144,Arogno,-0.6603069551084684,2.1137910576695123
3921,Arosa,0.36794261751152063,-0.82109261181512
1362,Arth,0.9688787823957985,-0.09870489434652986
5702,Arzier-Le Muids,-1.2381947672411284,-0.5963138772545746
5091,Ascona,-0.10360954912057332,0.6128979415130192
5511,Assens,-1.1684047871236705,-0.42345983568209256
2321,Attalens,-1.3290495041630987,0.32217720041199016
1203,Attinghausen,1.3442165979803964,0.21370386325072144
971,Attiswil,0.9574306321433241,0.17112652645024912
3231,Au (SG),0.6407816889819484,-0.46349771041261967
5422,Aubonne,-1.7654537476172831,-0.8122561090943768
4091,Auenstein,0.2845521574065704,-1.1646768955708433
2822,Augst,-0.09862919195276067,-0.06437544191495113
6191,Ausserberg,0.6195646032161003,0.19414483128295648
322,Auswil,1.3655455855632774,1.0310689854314128
2173,Autigny,-1.232682225025483,0.48297922545707633
4223,Auw,1.0656262656783528,-0.5959836275174989
5324,Avegno Gordevio,-0.5593397606182274,2.0836350049360215
5451,Avenches,-1.2419125616122924,0.2806491310736526
3681,Avers,1.0800562196085253,0.37279176444433315
2174,Avry,-1.3919659430449993,-0.15543738757710432
6603,Avully,-2.0484309808546035,1.6416315180536454
6604,Avusy,-1.8467413152318621,-0.2642427915008092
6082,Ayent,-1.2782483882744715,0.7976833636893012
1701,Baar,0.30315708955364473,-1.25732847482681
51,Bachenbülach,0.19467293301709976,-0.7923900288790727
