geo_id,geo_name,factor_1,factor_2,factor_3
4551,Aadorf,0.5846761042347633,-0.6240235802539009,0.46967220022927614
4001,Aarau,-0.8529814284253728,-1.5555431577377528,1.9418224805491222
301,Aarberg,0.009643194427753165,-1.0289363714338027,0.31708779631623596
4271,Aarburg,0.2061851649444964,0.06788345581240614,1.3353786450416185
321,Aarwangen,0.47487333697784384,-0.49430840476010734,0.19981818179940122
4221,Abtwil,1.2154584069776015,-0.06289712744389016,-0.3801169527139592
5621,Aclens,-1.6175242669759484,-0.12063570122537456,-1.5695066215153695
5048,Acquarossa,-0.007319093294785382,1.3836019288308834,0.13879019691457578
561,Adelboden,1.908236200110915,0.46809984305074887,-1.1402777203146168
1051,Adligenswil,-0.4899085564786365,-1.7398403743022335,1.0731740258097624
131,Adliswil,-0.30372340508686735,-1.207459762585331,1.237955147703989
2421,Aedermannsdorf,1.0467005276441035,-0.041500470230481895,-0.6474332058380143
401,Aefligen,0.6820540983191369,0.43465945244581555,0.22647465287199361
731,Aegerten,0.17316765652204727,-0.3073055929335982,0.5765303062894125
2761,Aesch (BL),-0.2880246393238354,-0.727754913116109,0.79325014804064
1021,Aesch (LU),1.2409974892262408,-0.4754876355125265,-0.5723352809373088
241,Aesch (ZH),0.3373207332347789,-2.1140970987471968,-0.3018639174252239
2511,Aeschi (SO),0.1887019505985217,-0.4188333612733731,0.6842694348229521
562,Aeschi bei Spiez,0.6921065048932455,-0.28050196690571655,0.012614053622815376
1,Aeugst am Albis,-0.31842820939898,-1.548184611861307,1.3320831646797884
4711,Affeltrangen,1.5189546110415293,0.26547660246916044,-0.2267993923518989
2,Affoltern am Albis,-0.17499711834884124,-0.9681933228782645,1.2572048870559096
951,Affoltern im Emmental,1.2046587624283602,0.29495829621317743,-0.6518201331039507
6101,Agarn,0.6453019330758077,0.7894454067029338,-1.0582592523466274
5742,Agiez,-1.1599942731683957,0.05626318214705265,-1.801657017251069
5141,Agno,-0.1847314360346546,1.5238328948855024,1.0107051140227816
5401,Aigle,-1.3495301013016954,0.5496050808922254,-0.6081147499343404
6601,Aire-la-Ville,-1.4989893584041907,-0.0992631993255644,-0.5290341559973993
5061,Airolo,0.9127398584625903,1.1267448489713874,-0.8717191121798318
1121,Alberswil,1.30490853490361,-0.25082453790459314,-1.2062880491050727
6102,Albinen,0.295076128050469,0.7211252200777503,-0.18374679807032218
3542,Albula/Alvra,0.323181643088185,-0.28020900708076985,0.35544829519369425
402,Alchenstorf,0.7440963361191412,0.015115889206638124,-0.148055646485808
5851,Allaman,-1.650153166290179,-0.38147063030275813,-0.676182972253222
6771,Alle,-1.1887991567903453,1.34391346773203,-0.5642672693820281
630,Allmendingen,0.10294681569384095,-1.1612135919629936,0.2509793476357537
2762,Allschwil,-0.6313203501858702,-0.633402157320947,1.482031314891956
1401,Alpnach,0.9516874836093898,-0.4856972521425881,-0.48273286669780213
1361,Alpthal,2.780915043846934,2.29283806283792,-0.7778370142146249
1122,Altbüron,0.8911979528804048,-0.6176841010003292,-1.035925159470465
1201,Altdorf (UR),-0.13046853028299493,-1.1175310028068943,0.6774418177712234
1341,Altendorf,1.101369417659653,-0.6654380517093977,-0.5271730812420684
211,Altikon,1.0325083798915622,-0.20136862888005758,-0.12739511970803927
1123,Altishofen,0.978713949382229,-0.6709588807381097,-1.1742079937306384
4641,Altnau,0.2829969786688398,-0.6264437764059876,0.5429188439705851
3251,Altstätten,0.8979455062485745,-0.05387988999049165,0.5085878739842326
3311,Amden,0.8977369661847722,-0.22514264296976766,0.3725210077416027
4881,Amlikon-Bissegg,1.5591915787078228,0.04103206381119192,-0.6530602810090104
4191,Ammerswil,0.4988149594171098,-0.1829702890852265,1.0944808867741087
4461,Amriswil,0.7135898720684775,-0.14863422839103696,0.40940726881281725
921,Amsoldingen,0.49196888282872964,0.038276301830827066,0.42664097165938775
3701,Andeer,0.21617937186233105,-0.8518313957938932,0.3576619995421738
291,Andelfingen,0.5525792376313583,-0.998612619001697,0.308123328732492
1202,Andermatt,0.7854429591213157,-0.8618289197891402,-0.9651859285370543
3441,Andwil (SG),0.7408421554516847,-1.585779336565626,-0.8329166050422484
6602,Anières,-1.283942898261717,-1.6599704639812567,-1.5073171485907748
6252,Anniviers,-0.7848528037537609,-0.1019836984479405,-1.7173699649664356
2841,Anwil,0.2259523787981849,0.5009223973119202,1.2766385580432513
3101,Appenzell,1.0234667011669296,-0.9758464081304844,-0.6157923655486551
5143,Aranno,-1.0432247242829442,1.1148793222729,1.8562111549926346
6261,Arbaz,-0.8735242539029964,0.43251788798187224,-0.9419678867112394
5001,Arbedo-Castione,-0.49170418219584755,1.9890017735169219,1.4564689313442412
2881,Arboldswil,0.7481151178142178,0.214260851530634,0.35451050149700036
4401,Arbon,0.11004808657570611,-0.23401118451727101,1.3050377848884964
381,Arch,0.9548234319560701,0.9239226220450839,0.4581445323913348
6021,Ardon,-0.49785951768146325,0.3241336924531099,-1.8231984381200088
2821,Arisdorf,0.7204091585241382,-0.2751561525666147,-0.2788045937985525
4222,Aristau,0.6797712586208435,-0.3795645997668507,-0.28396916182652004
2763,Arlesheim,-1.02805570511005,-1.5341030782367377,1.6742103541439817
5701,Arnex-sur-Nyon,-1.340643698385613,-1.6265998961976362,-2.2426631930969725
5743,Arnex-sur-Orbe,-1.4799359955597682,0.4482256852553394,-0.8600587059582516
4061,Arni (AG),0.21717943002850637,-1.5471092634778825,0.35185412332442284
602,Arni (BE),1.1732034350012988,0.5675052228083132,-0.47752271126219187
