municipality_id,municipality_name,PC1,PC2,PC3,final_cluster,cluster_profile
1,Aeugst am Albis,3.143120826658789,7.86569398953491,6.925141574632564,2,"moderat, gemischt, neutral"
10,Obfelden,0.7110183167259455,4.7127905221668,4.482597344420375,2,"moderat, gemischt, neutral"
100,Stadel,-10.424592281339832,2.2627657317783414,-1.0083641574725133,0,"konservativ, gemischt, neutral"
1001,Doppleschwand,-16.356091766491936,3.3378812908418736,-10.168306081934757,0,"konservativ, gemischt, neutral"
1002,Entlebuch,-16.21793132738885,-0.23466505477707816,-6.754803033996225,0,"konservativ, gemischt, neutral"
1004,Flühli,-15.979777955179129,2.869452139568442,-10.228715901877637,0,"konservativ, gemischt, neutral"
1005,Hasle (LU),-18.654304770035594,-1.523535812225706,-8.609891762187749,0,"konservativ, gemischt, neutral"
1007,Romoos,-14.538142990618747,-0.3423162928142542,-8.091124586611889,0,"konservativ, gemischt, neutral"
1008,Schüpfheim,-8.921427242540256,2.994356319740272,-4.2362841945472045,0,"konservativ, gemischt, neutral"
1009,Werthenstein,-13.362601456984123,-4.5358808839906315,-1.9336513338516093,0,"konservativ, gemischt, neutral"
101,Steinmaur,-4.384767832912801,4.731126247644914,2.388427143151027,2,"moderat, gemischt, neutral"
1010,Escholzmatt-Marbach,-15.001971912481647,-2.6534799033945364,-6.035837568780125,0,"konservativ, gemischt, neutral"
102,Weiach,-11.965740474726369,-3.668421503582553,2.5193881503368707,0,"konservativ, gemischt, neutral"
1021,Aesch (LU),-11.167859505077468,3.286262113539465,-2.5387141445450276,0,"konservativ, gemischt, neutral"
1023,Ballwil,-9.22187765365253,4.426685439602746,-2.0947256681407636,0,"konservativ, gemischt, neutral"
1024,Emmen,-1.8237583141341092,1.2239635796355914,4.43228996747952,2,"moderat, gemischt, neutral"
1025,Ermensee,-8.442895340839225,4.8451406563007895,-2.8939797913198793,0,"konservativ, gemischt, neutral"
1026,Eschenbach (LU),-5.065227894578193,7.402869107695396,-1.845526903731679,2,"moderat, gemischt, neutral"
1030,Hitzkirch,-5.552048145644484,4.548397793412808,0.08594925425848528,2,"moderat, gemischt, neutral"
1031,Hochdorf,-1.0103133182704531,8.344933585486626,0.16541358446015822,2,"moderat, gemischt, neutral"
1032,Hohenrain,-8.17653859441192,4.144938556158724,-2.0014805839856873,0,"konservativ, gemischt, neutral"
1033,Inwil,-8.209934037096758,6.261039469304421,-2.688856196111067,0,"konservativ, gemischt, neutral"
1037,Rain,-7.468549962589502,10.010296502016317,-6.103320501693677,0,"konservativ, gemischt, neutral"
1039,Römerswil,-9.768618156516348,3.2156484117959288,-3.0642858058404148,0,"konservativ, gemischt, neutral"
1040,Rothenburg,-1.0941218330967353,8.58834622679441,1.375730643512591,2,"moderat, gemischt, neutral"
1041,Schongau,-12.193329237443566,-0.5975604799583563,-2.489800330355849,0,"konservativ, gemischt, neutral"
1051,Adligenswil,5.159452885679224,9.203085320400698,5.575578894545371,2,"moderat, gemischt, neutral"
1052,Buchrain,-0.23909025363975803,7.700985241548829,1.4211488734178046,2,"moderat, gemischt, neutral"
1053,Dierikon,-3.9986900819778373,2.6424984901864477,1.5505645055538928,2,"moderat, gemischt, neutral"
1054,Ebikon,0.0827212817281111,5.498611137242079,3.1869878252429946,2,"moderat, gemischt, neutral"
1055,Gisikon,-6.980145387451825,5.97297058954775,-1.9348639164125805,0,"konservativ, gemischt, neutral"
1056,Greppen,-3.892142076592157,6.181199834785371,-0.24304205918467206,2,"moderat, gemischt, neutral"
1058,Horw,2.2483221488959977,7.924983732998532,3.8761642344495653,2,"moderat, gemischt, neutral"
1059,Kriens,3.185081589783935,4.340163332776775,5.791973793636149,2,"moderat, gemischt, neutral"
1061,Luzern,10.772466024444638,5.605811437307262,10.933999260540908,2,"moderat, gemischt, neutral"
1062,Malters,-4.461332409499221,3.872210881982719,0.7766370483004904,2,"moderat, gemischt, neutral"
1063,Meggen,-1.4337482146935674,13.5132284990559,-0.8443867004906827,2,"moderat, gemischt, neutral"
1064,Meierskappel,-8.1859354831755,3.8915655885882803,0.1706147253826474,0,"konservativ, gemischt, neutral"
1065,Root,-5.006687635394902,3.342889010214865,0.5178032604143749,2,"moderat, gemischt, neutral"
1066,Schwarzenberg,-10.751325659374277,1.690133448350218,-2.9632443847016927,0,"konservativ, gemischt, neutral"
1067,Udligenswil,-2.973344023106215,8.547057041797341,1.016567734522757,2,"moderat, gemischt, neutral"
1068,Vitznau,-3.431676718844064,1.3993816138820827,3.4021267393882026,2,"moderat, gemischt, neutral"
1069,Weggis,-5.580010959281196,6.360138996758233,0.6639982212916279,2,"moderat, gemischt, neutral"
1081,Beromünster,-6.7131404077263825,6.804755978016103,-2.7953151548725788,0,"konservativ, gemischt, neutral"
1082,Büron,-8.187869752364708,2.4474046149419055,-1.342454731276884,0,"konservativ, gemischt, neutral"
1083,Buttisholz,-8.674819000175582,6.472912139554708,-3.8930291492615288,0,"konservativ, gemischt, neutral"
1084,Eich,-5.9948332433801905,11.138574045905429,-3.974913541019768,2,"moderat, gemischt, neutral"
1085,Geuensee,-2.7114148818107555,3.45051098736105,2.120501270441812,2,"moderat, gemischt, neutral"
1086,Grosswangen,-10.825896322186018,6.426418124460303,-5.429872316104912,0,"konservativ, gemischt, neutral"
1088,Hildisrieden,-4.82588879799097,10.4543503008284,-2.861191461066865,2,"moderat, gemischt, neutral"
1089,Knutwil,-5.442831549582936,6.700790207750436,-1.04430704359295,2,"moderat, gemischt, neutral"
