municipality_id,municipality_name,PC1,PC2,PC3,kmeans_cluster,hier_cluster,gmm_cluster,dbscan_cluster
1,Aeugst am Albis,3.143120826658378,7.865693989457858,6.925141577234012,1,3,1,0
10,Obfelden,0.7110183167254233,4.712790521760175,4.482597344468478,1,3,1,0
100,Stadel,-10.424592281340685,2.262765731202616,-1.0083641600307693,0,3,1,0
1001,Doppleschwand,-16.35609176648759,3.3378812926756205,-10.168306072092172,0,2,0,0
1002,Entlebuch,-16.217931327386694,-0.23466505369835236,-6.7548030230289715,0,2,0,0
1004,Flühli,-15.979777955177363,2.869452140236671,-10.228715888343848,0,2,0,0
1005,Hasle (LU),-18.654304770032294,-1.5235358106340102,-8.609891747580406,0,2,0,0
1007,Romoos,-14.538142990613666,-0.3423162905239653,-8.091124572723354,0,2,0,0
1008,Schüpfheim,-8.921427242538293,2.994356320592199,-4.236284184410402,0,3,0,0
1009,Werthenstein,-13.362601456982086,-4.535880882926664,-1.9336513261040253,0,2,0,0
101,Steinmaur,-4.384767832911723,4.731126248081886,2.3884271460160407,1,3,1,0
1010,Escholzmatt-Marbach,-15.001971912479611,-2.6534799026314255,-6.035837562241739,0,2,0,0
102,Weiach,-11.965740474725534,-3.6684215033400904,2.519388152399679,0,2,0,0
1021,Aesch (LU),-11.167859505075777,3.2862621141415826,-2.538714141300185,0,2,0,0
1023,Ballwil,-9.22187765365063,4.426685440226021,-2.094725668900159,0,3,1,0
1024,Emmen,-1.823758314132813,1.2239635800086903,4.43228996726185,1,3,1,0
1025,Ermensee,-8.442895340836932,4.845140656982404,-2.8939797836834242,0,3,0,0
1026,Eschenbach (LU),-5.065227894575705,7.4028691087760885,-1.8455268994463483,1,3,1,0
1030,Hitzkirch,-5.552048145642437,4.548397794249353,0.08594925677395937,1,3,1,0
1031,Hochdorf,-1.0103133182690256,8.344933586094868,0.16541358914699225,1,3,1,0
1032,Hohenrain,-8.17653859441047,4.144938556688748,-2.0014805844670263,0,3,1,0
1033,Inwil,-8.209934037095808,6.261039469665836,-2.688856198173097,0,3,1,0
1037,Rain,-7.468549962587163,10.010296503167059,-6.103320498280466,0,3,1,0
1039,Römerswil,-9.76861815651476,3.2156484125908285,-3.0642858066380567,0,3,0,0
1040,Rothenburg,-1.0941218330956863,8.588346227144969,1.3757306420971471,1,3,1,0
1041,Schongau,-12.19332923744215,-0.597560479501338,-2.489800332109541,0,2,0,0
1051,Adligenswil,5.1594528856794355,9.20308532046582,5.5755788954331145,1,3,1,0
1052,Buchrain,-0.23909025363865236,7.700985241927607,1.4211488732620734,1,3,1,0
1053,Dierikon,-3.998690081975073,2.6424984911924825,1.5505645063514986,1,3,1,0
1054,Ebikon,0.08272128172930494,5.498611137536415,3.186987826013683,1,3,1,0
1055,Gisikon,-6.980145387450786,5.972970589774865,-1.9348639183280543,0,3,0,0
1056,Greppen,-3.892142076590697,6.181199835210415,-0.24304205508178242,1,3,1,0
1058,Horw,2.248322148896754,7.924983733356647,3.876164235728823,1,3,1,0
1059,Kriens,3.185081589785532,4.3401633334532805,5.791973796227661,1,3,1,0
1061,Luzern,10.772466024446823,5.605811438277093,10.93399926941621,1,3,1,0
1062,Malters,-4.461332409497167,3.872210882869483,0.7766370518663086,1,3,1,0
1063,Meggen,-1.4337482146921738,13.513228499761338,-0.8443866925537711,1,3,1,0
1064,Meierskappel,-8.18593548317523,3.8915655883433677,0.17061472321612844,0,3,0,0
1065,Root,-5.006687635393228,3.3428890107032196,0.517803260129152,1,3,1,0
1066,Schwarzenberg,-10.751325659372613,1.6901334490122897,-2.963244384628955,0,2,0,0
1067,Udligenswil,-2.9733440231043207,8.547057042574359,1.0165677351127074,1,3,1,0
